Code,Name,MainGroup,SubTags,Industry,GroupSize
1762,中化生,生技醫療,"原料藥, 防疫","原料藥, 醫藥產業",134
1773,勝一,化學,,"其他化工產品, 化學工業, 化學產品通路, 溶劑",69
1776,展宇,化學,,"PU樹脂, 其他化工產品, 化學工業",69
1777,生泰,生技醫療,"原料藥, 生技","原料藥, 醫藥產業",134
1781,合世,生技醫療,"生技, 穿載裝置, 長期照護, 長照","血壓計, 診斷與監測用醫材",134
1783,和康生,生技醫療,"醫美保養妝品, 長期照護, 長照","時尚產業, 美妝保養品, 輔助與彌補用醫材, 醫用植入材料",134
1784,訊聯,生技醫療,"二胎化, 再生醫療, 醫療器材耗材, 長期照護, 長照","時尚產業, 生技服務, 生物科技, 美妝保養品",134
1785,光洋科,機械,"3D列印, 黃金","傳產其他, 半導體化學品, 回收焚化／掩埋清運, 貴金屬",93
1786,科妍,傳產其他,醫美保養妝品,"輔助與彌補用醫材, 醫用植入材料",246
1788,杏昌,"半導體設備, 生技醫療","醫療儀器設備, 長期照護","手術與治療用醫材, 洗腎器具, 醫療器材通路, 醫藥流通","109, 134"
1789,神隆,生技醫療,"原料藥, 新藥, 防疫","原料藥, 西藥製劑, 醫藥產業",134
1795,美時,生技醫療,製藥業,"學名藥, 西藥製劑, 醫藥產業",134
1796,金穎生技,食品,保健食品,"生物科技, 食品生技",61
1799,易威,生技醫療,醫療器材耗材,"原料藥, 學名藥, 新藥研發, 醫藥產業, 醫藥研發外包服務",134
1802,台玻,建材,"一帶一路, 玻璃陶瓷, 風力發電","傳產其他, 印刷電路板相關, 建材, 玻璃, 玻纖布, 複合材料",18
1805,寶徠,營建,,"地產, 營建",122
1806,冠軍,建材,玻璃陶瓷,"建材, 瓷磚",18
1808,潤隆,營建,,"地產, 營建",122
1809,中釉,建材,"建材, 玻璃陶瓷","建材, 釉料",18
1810,和成,建材,"建材, 水資源, 玻璃陶瓷","家居用品, 水龍頭, 衛浴設備",18
1813,寶利徠,傳產其他,視力保健,"傳產其他, 眼鏡業",246
1815,富喬,PCB,GB300,"印刷電路板相關, 玻纖布",64
1817,凱撒衛,建材,"建材, 水資源, 玻璃陶瓷","家居用品, 水龍頭, 衛浴設備",18
1903,士紙,"觀光, 造紙",紙業,"地產, 家庭用紙, 旅宿／餐飲, 物業投資發展, 資產股, 造紙業, 飯店","54, 7"
