TagId,TagName,TagType,StockCode,StockName
C23310,顯示器,category,3168,眾福科
C23310,顯示器,category,2352,佳世達
C23310,顯示器,category,7753,星亞
C23320,電信服務,category,2412,中華電
C23320,電信服務,category,3045,台灣大
C23320,電信服務,category,4904,遠傳
C23330,工業電腦,category,2395,研華
C23330,工業電腦,category,3022,威強電
C23330,工業電腦,category,3088,艾訊
C23330,工業電腦,category,6166,凌華
C23330,工業電腦,category,8050,廣積
C23330,工業電腦,category,8234,新漢
C23330,工業電腦,category,3611,鼎翰
C23330,工業電腦,category,3577,泓格
C23350,資訊通路,category,2373,震旦行
C23350,資訊通路,category,2414,精技
C23350,資訊通路,category,2430,燦坤
C23350,資訊通路,category,2450,神腦
C23350,資訊通路,category,3114,好德
C23350,資訊通路,category,5410,國眾
C23350,資訊通路,category,6118,建達
C23350,資訊通路,category,6136,富爾特
C23360,掃描器,category,2305,全友
C23360,掃描器,category,2380,虹光
C23360,掃描器,category,6228,全譜
C23360,掃描器,category,4974,亞泰
C23360,掃描器,category,6863,永道-KY
C23360,掃描器,category,9105,泰金寶-DR
C23360,掃描器,category,5425,台半
C23370,安全監控,category,2390,云辰
C23370,安全監控,category,3297,杭特
C23370,安全監控,category,3356,奇偶
C23370,安全監控,category,5484,慧友
C23370,安全監控,category,5489,彩富
C23370,安全監控,category,8072,陞泰
C23370,安全監控,category,3128,昇銳
C23370,安全監控,category,3454,晶睿
C23380,筆記型電腦,category,2353,宏碁
C23380,筆記型電腦,category,2356,英業達
C23380,筆記型電腦,category,2362,藍天
C23380,筆記型電腦,category,2364,倫飛
C23380,筆記型電腦,category,3005,神基
C23380,筆記型電腦,category,2357,華碩
C23380,筆記型電腦,category,3231,緯創
C23380,筆記型電腦,category,2382,廣達
C23390,消費電子,category,2477,美隆電
C23390,消費電子,category,2488,漢平
C23390,消費電子,category,3040,遠見
C23390,消費電子,category,3067,全域
C23390,消費電子,category,6201,亞弘電
C23390,消費電子,category,8033,雷虎
C23390,消費電子,category,8201,無敵
C23390,消費電子,category,1604,聲寶
C23400,商業自動化,category,2482,連宇
C23400,商業自動化,category,5490,同亨
C23400,商業自動化,category,6160,欣技
C23400,商業自動化,category,6206,飛捷
C23400,商業自動化,category,8076,伍豐
C23400,商業自動化,category,8114,振樺電
C23400,商業自動化,category,5258,虹堡
C23410,手機製造,category,2498,宏達電
C23410,手機製造,category,8101,華冠
C23410,手機製造,category,6859,伯特光
C23415,太陽能,category,6244,茂迪
C23415,太陽能,category,5483,中美晶
C23415,太陽能,category,3576,聯合再生
C23415,太陽能,category,3686,達能
C23415,太陽能,category,4934,太極
C23415,太陽能,category,3691,碩禾
C23415,太陽能,category,2406,國碩
C23415,太陽能,category,6443,元晶
C23420,其他,category,6277,宏正
C23420,其他,category,8047,星雲
C23420,其他,category,2359,所羅門
C23420,其他,category,6512,啟發電
C23420,其他,category,8499,鼎炫-KY
C23420,其他,category,6855,數泓科
C23420,其他,category,4931,新盛力
C23420,其他,category,2323,中環
C30028,電腦周邊,category,2365,昆盈
C30028,電腦周邊,category,3272,東碩
C30028,電腦周邊,category,3287,廣寰科
C30028,電腦周邊,category,3349,寶德
C30028,電腦周邊,category,3494,誠研
C30028,電腦周邊,category,3540,曜越
C30028,電腦周邊,category,5356,協益
C30028,電腦周邊,category,5438,東友
C23430,系統整合,category,2427,三商電
C23430,系統整合,category,2453,凌群
C23430,系統整合,category,2468,華經
C23430,系統整合,category,2471,資通
C23430,系統整合,category,2480,敦陽科
C23430,系統整合,category,3029,零壹
C23430,系統整合,category,5201,凱衛
C23430,系統整合,category,5209,新鼎
C23440,遊戲,category,3064,泰偉
C23440,遊戲,category,3083,網龍
C23440,遊戲,category,3086,華義
C23440,遊戲,category,5478,智冠
C23440,遊戲,category,6111,大宇資
C23440,遊戲,category,6169,昱泉
C23440,遊戲,category,6180,橘子
C23440,遊戲,category,3293,鈊象
C23450,其他,category,3085,新零售
C23450,其他,category,5202,力新
C23450,其他,category,5211,蒙恬
C23450,其他,category,6183,關貿
C23450,其他,category,8044,網家
C23450,其他,category,3130,一零四
C23450,其他,category,5278,尚凡*
C23450,其他,category,5263,智崴
C28010,金控,category,2880,華南金
C28010,金控,category,2881,富邦金
C28010,金控,category,2882,國泰金
C28010,金控,category,2883,凱基金
C28010,金控,category,2884,玉山金
C28010,金控,category,2885,元大金
C28010,金控,category,2886,兆豐金
C28010,金控,category,2887,台新新光金
C28020,銀行,category,2801,彰銀
C28020,銀行,category,2812,台中銀
C28020,銀行,category,2834,臺企銀
C28020,銀行,category,2836,高雄銀
C28020,銀行,category,2838,聯邦銀
C28020,銀行,category,2845,遠東銀
C28020,銀行,category,2849,安泰銀
C28020,銀行,category,2897,王道銀行
C28030,證券,category,2855,統一證
C28030,證券,category,6005,群益證
C28030,證券,category,6015,宏遠證
C28030,證券,category,6016,康和證
C28030,證券,category,6020,大展證
C28030,證券,category,6021,美好證
C28030,證券,category,6023,元大期
C28030,證券,category,6024,群益期
C28040,保險,category,2816,旺旺保
C28040,保險,category,2832,台產
C28040,保險,category,2850,新產
C28040,保險,category,2851,中再保
C28040,保險,category,2852,第一保
C28040,保險,category,2867,三商壽
C28040,保險,category,5878,台名
C50020,水資源,concept,1504,東元
C50020,水資源,concept,1535,中宇
C50020,水資源,concept,1810,和成
C50020,水資源,concept,1817,凱撒衛
C50020,水資源,concept,2062,橋椿
C50020,水資源,concept,8383,千附
C50020,水資源,concept,8435,鉅邁
C50020,水資源,concept,8924,大田
C50030,Apple蘋果,concept,1582,信錦
C50030,Apple蘋果,concept,1904,正隆
C50030,Apple蘋果,concept,2301,光寶科
C50030,Apple蘋果,concept,2308,台達電
C50030,Apple蘋果,concept,2313,華通
C50030,Apple蘋果,concept,2317,鴻海
C50030,Apple蘋果,concept,2324,仁寶
C50030,Apple蘋果,concept,2327,國巨*
C50040,Apple Pay,concept,2454,聯發科
C50040,Apple Pay,concept,2482,連宇
C50040,Apple Pay,concept,3048,益登
C50040,Apple Pay,concept,3094,聯傑
C50040,Apple Pay,concept,3529,力旺
C50040,Apple Pay,concept,3687,歐買尬
C50040,Apple Pay,concept,5490,同亨
C50040,Apple Pay,concept,6155,鈞寶
C50050,智慧型機器人/機械手臂,concept,2049,上銀
C50050,智慧型機器人/機械手臂,concept,2377,微星
C50050,智慧型機器人/機械手臂,concept,6166,凌華
C50050,智慧型機器人/機械手臂,concept,2359,所羅門
C50050,智慧型機器人/機械手臂,concept,8374,羅昇
C50050,智慧型機器人/機械手臂,concept,4562,穎漢
C50050,智慧型機器人/機械手臂,concept,2365,昆盈
C50050,智慧型機器人/機械手臂,concept,2464,盟立
C50070,Tesla特斯拉,concept,1536,和大
C50070,Tesla特斯拉,concept,1723,中碳
C50070,Tesla特斯拉,concept,2066,世德
C50070,Tesla特斯拉,concept,2201,裕隆
C50070,Tesla特斯拉,concept,2308,台達電
C50070,Tesla特斯拉,concept,2313,華通
C50070,Tesla特斯拉,concept,2360,致茂
